AL,4461130
AK,628933
AZ,5140683
AR,2679733
CA,33930798
CO,4311882
CT,3409535
DE,785068
FL,16028890
GA,8206975
HI,1216642
ID,1297274
IL,12439042
IN,6090782
IA,2931923
KS,2693824
KY,4049431
LA,4480271
ME,1277731
MD,5307886
MA,6355568
MI,9955829
MN,4925670
MS,2852927
MO,5606260
MT,905316
NE,1715369
NV,2002032
NH,1238415
NJ,8424354
NM,1823821
NY,19004973
NC,8067673
ND,643756
OH,11374540
OK,3458819
OR,3428543
PA,12300670
RI,1049662
SC,4025061
SD,756874
TN,5700037
TX,20903994
UT,2236714
VT,609890
VA,7100702
WA,5908684
WV,1813077
WI,5371210
WY,495304
